Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,179686071,2305.2811676383803,2565745,32.91720719666876,437764,3899172,50.02439939255436,57897,0.7427891489861755,9218,
United States of America,Americas,33257768,10047.58,82369,24.88,14239,597727,180.58,2136,0.65,355,Community transmission
India,South-East Asia,30134445,2183.65,371652,26.93,51667,393310,28.5,9820,0.71,1329,Clusters of cases
Brazil,Americas,18169881,8548.14,541293,254.65,115228,507109,238.57,13416,6.31,2392,Community transmission
France,Europe,5655376,8695.31,11620,17.87,1796,110001,169.13,258,0.4,44,Community transmission
Russian Federation,Europe,5409088,3706.52,127779,87.56,20393,132064,90.5,3619,2.48,601,Clusters of cases
Turkey,Europe,5393248,6394.72,39095,46.35,5703,49417,58.59,405,0.48,59,Community transmission
The United Kingdom,Europe,4684576,6900.65,83949,123.66,16702,128048,188.62,103,0.15,21,Community transmission
Argentina,Americas,4326101,9571.91,127481,282.06,27319,90986,201.32,3725,8.24,705,Community transmission
Italy,Europe,4255700,7135.47,5945,9.97,266,127362,213.55,172,0.29,10,Clusters of cases
Colombia,Americas,4027016,7914.28,197137,387.43,29995,101947,200.36,4387,8.62,645,Community transmission
Spain,Europe,3777539,7980.84,20813,43.97,2162,80766,170.63,59,0.12,2,Community transmission
Germany,Europe,3725580,4479.65,5549,6.67,774,90678,109.03,408,0.49,62,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3140129,3738.56,69703,82.99,11734,83473,99.38,854,1.02,144,Community transmission
Poland,Europe,2879470,7585.91,1004,2.65,134,74953,197.46,171,0.45,36,Community transmission
Mexico,Americas,2487747,1929.49,24357,18.89,4963,231847,179.82,1223,0.95,342,Community transmission
Ukraine,Europe,2232790,5105.42,4598,10.51,876,52234,119.44,282,0.64,53,Community transmission
Indonesia,South-East Asia,2072867,757.84,109601,40.07,18872,56371,20.61,2328,0.85,422,Community transmission
Peru,Americas,2036449,6176.33,21259,64.48,2843,191073,579.5,1551,4.7,167,Community transmission
South Africa,Africa,1877143,3165.04,91064,153.54,16078,59406,100.16,1083,1.83,148,Community transmission
Netherlands,Europe,1681580,9660.04,4980,28.61,716,17735,101.88,15,0.09,1,Community transmission
Czechia,Europe,1666686,15585.33,868,8.12,165,30292,283.26,17,0.16,1,Community transmission
Chile,Americas,1531872,8013.48,33641,175.98,3463,31797,166.34,657,3.44,51,Community transmission
Canada,Americas,1410927,3738.33,5781,15.32,721,26175,69.35,174,0.46,20,Community transmission
Philippines,Western Pacific,1378260,1257.75,38817,35.42,6043,24036,21.93,760,0.69,108,Community transmission
Iraq,Eastern Mediterranean,1311093,3259.6,36464,90.66,6093,16999,42.26,188,0.47,31,Community transmission
Sweden,Europe,1088896,10543.56,4297,41.61,378,14619,141.55,4,0.04,0,Community transmission
Belgium,Europe,1081908,9389.57,1854,16.09,1,25152,218.29,28,0.24,0,Community transmission
